mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,num.trees,max.depth
55,gini,3,0.93879733743907,0.9150643407511094,0.8520663265306122,7.118730760627922e-4,0.00277379486255508,7.363241019067106e-4,500,0
55,gini,5,0.9388043251687476,0.9150075191793732,0.8527359693877551,7.757591307539414e-4,0.00280493390180173,3.517784533296146e-4,500,0
55,gini,7,0.9384521109642892,0.9146665970132614,0.8525127551020408,8.146869273998133e-4,0.00256186048324504,9.567389396737164e-4,500,0
75,gini,3,0.9386946184360442,0.9157177822882022,0.8529145408163266,7.876321793984342e-4,0.00333759855413087,0.001338450298238162,500,0
75,gini,5,0.9384193585561582,0.9156495940129684,0.8528380102040817,7.01492163948475e-4,0.00276634830997709,7.495318414249542e-4,500,0
75,gini,7,0.9382981432836506,0.915183662161316,0.8526658163265306,8.066080889227603e-4,0.0029752830235856,0.0010065121253236748,500,0
95,gini,3,0.9383586390933256,0.9161399303447544,0.8524314413265306,8.987628430807869e-4,0.00363368595404766,6.547351585336227e-4,500,0
95,gini,5,0.9382831214271872,0.9155814134863292,0.8530484693877551,7.766007187761625e-4,0.00321530823921555,9.057469718697729e-4,500,0
95,gini,7,0.9380656636779524,0.9151950301562456,0.8527678571428572,8.570698852918104e-4,0.0030367263146385,0.0012044541618244733,500,0
30,gini,3,0.939080907705566,0.9132290237267944,0.8522002551020408,6.266885382493467e-4,0.00271824827194064,0.0011914248528233245,500,0
30,gini,5,0.9390265684088168,0.913336986182098,0.8520089285714286,6.543784031619894e-4,0.00209640264366625,8.195215099423827e-4,500,0
30,gini,7,0.9388310221692276,0.9129221900482832,0.8522130102040817,8.192562310430098e-4,0.00240490888522159,0.0010819774220694035,500,0
50,gini,3,0.9389383862932784,0.9149847922295404,0.8526849489795918,7.012904954669481e-4,0.00294299188494577,6.077106759985385e-4,500,0
50,gini,5,0.9387509256983394,0.91510411315546,0.8524298469387755,8.003643373920508e-4,0.00301581818265888,7.684221216281229e-4,500,0
50,gini,7,0.9385785973665144,0.914729095076012,0.8517474489795919,7.901594038184258e-4,0.00265861914308608,3.159946209652227e-4,500,0
70,gini,3,0.9386509044903196,0.9154791339792016,0.8523150510204082,7.521276150431308e-4,0.00324171908826566,0.001085261693945799,500,0
70,gini,5,0.9385891178118948,0.915445040971588,0.8527614795918367,6.458620822492097e-4,0.00292466292493391,9.434142030117751e-4,500,0
70,gini,7,0.9383759105760672,0.915439357861983,0.852327806122449,7.428464725828354e-4,0.00291732675855003,7.022549599982605e-4,500,0
30,gini,1,0.9381494850313412,0.9138654141593527,0.8508673469387755,9.29416437916708e-4,0.002151849675971937,0.000859610132631547,150,0
30,gini,3,0.9383037448458899,0.9136154023754358,0.8508737244897959,8.284854523707256e-4,0.0016497503642477378,0.00162230031367078,150,0
30,gini,5,0.9382306479215945,0.9131381076945831,0.8514349489795918,7.502045106528346e-4,0.002824106250757569,0.000817658252867223,150,0
30,gini,7,0.9378538755558548,0.912626720006117,0.8512372448979592,7.364322956978425e-4,0.0021345196917083083,0.00120424308736799,150,0
50,gini,1,0.938310063976935,0.9154564008950653,0.8510905612244898,8.791576317183297e-4,0.0028179339437175003,0.000544618212652781,150,0
50,gini,3,0.9380636010550513,0.9147575046511623,0.8515051020408163,5.831369822528178e-4,0.0024715006009213007,0.00116584528332278,150,0
50,gini,5,0.9381027195173324,0.9147347726970294,0.8511798469387755,7.300289995788108e-4,0.0029671097167994842,0.00157771898939451,150,0
50,gini,7,0.9381141024595648,0.914587043325963,0.8516454081632653,8.454897534819713e-4,0.0026798567891664327,0.000977556046544533,150,0
70,gini,1,0.9380320237918244,0.9165359949380113,0.8512053571428572,7.43501740853018e-4,0.0024074576874401226,0.000703484639502125,150,0
70,gini,3,0.9379356872715637,0.9152120764179087,0.8520982142857143,8.345130357684464e-4,0.0030878341487355987,0.00135933127799061,150,0
70,gini,5,0.9378436771340538,0.9151382056787862,0.852219387755102,7.114839351065156e-4,0.0031686871969872957,0.00100423649020488,150,0
70,gini,7,0.9377716954775428,0.915695046136914,0.8519387755102041,7.616172397248323e-4,0.0027897404129999955,0.00105480529493591,150,0
5,gini,1,0.9354252137069006,0.9254057066695287,0.8199808673469388,0.0016510734475758747,0.006109862143666158,0.0033991958061489022,150,0
5,gini,3,0.9351995897354907,0.9236556435535963,0.8216517857142857,0.0013972235979901747,0.0030627740763509003,0.005412470909127281,150,0
5,gini,5,0.9350433038039174,0.9248204600262605,0.8196237244897959,0.0013181749922980912,0.007200893151294482,0.006762820777747142,150,0
5,gini,7,0.9348459107181006,0.9260932331427827,0.8178316326530612,0.0017106565477630975,0.004526295433897573,0.007487798974735336,150,0
10,gini,1,0.9386618587597222,0.9147518420430463,0.8475637755102041,8.871579665849338e-4,0.004301213121822373,0.0015601554671688398,150,0
10,gini,3,0.938514089382456,0.9130926662249549,0.8488584183673469,8.828237467696451e-4,0.0034153653883737655,0.0013258175452985639,150,0
10,gini,5,0.9382890757837345,0.9135415574649609,0.8479145408163266,8.757462701416506e-4,0.004268472169999983,0.0016898404277726547,150,0
10,gini,7,0.9380869977208024,0.9123880836428658,0.8483673469387755,9.64128405395438e-4,0.0035009771593845773,7.520373982283259e-4,150,0
20,gini,1,0.9386025007124058,0.9128483312549102,0.8499744897959184,9.230193630981441e-4,0.002734334414176961,0.0010039326824562384,150,0
20,gini,3,0.9383704826795675,0.9115243977219062,0.851843112244898,8.770911705568253e-4,0.0022483729248373055,8.855385182505148e-4,150,0
20,gini,5,0.9383578811250038,0.9113993932020946,0.8518558673469387,7.613254238681309e-4,0.002145644034390518,6.359189127951424e-4,150,0
20,gini,7,0.9382749470862168,0.9112914383339563,0.8516645408163266,6.578925855093031e-4,0.0022041346989648755,0.0011299699472484832,150,0
5,gini,1,0.9192847850739407,0.9281103756129293,0.7357844387755103,0.002816864537506059,0.0037033986446236965,0.01722095845066096,150,10
5,gini,3,0.9184544541816415,0.9258489114099199,0.7394323979591837,0.001544775297431041,0.005962859819026511,0.011393941567665046,150,10
5,gini,5,0.9185493221499631,0.9261046250292112,0.7367857142857143,0.001918154365072826,0.005804343904373474,0.019685977344713067,150,10
5,gini,7,0.9189304720626409,0.9258716356154585,0.7397576530612245,0.0027356555954796556,0.003653344879366105,0.012771561446574662,150,10
10,gini,1,0.9291915462113521,0.9051547841352137,0.8307142857142857,0.0014523216285045187,0.005810240985517923,0.007286697425163824,150,10
10,gini,3,0.9292060300754874,0.9079731044549686,0.8278380102040817,0.0013806840047220785,0.0050618952396967514,0.006191358917555267,150,10
10,gini,5,0.9290813734953014,0.9065582676426479,0.8295599489795918,0.0014503020564171048,0.0053771648045434885,0.003961917228077419,150,10
10,gini,7,0.9289181979610621,0.906529883573287,0.8288456632653062,0.0013532416702587027,0.005019567978483651,0.002212077267622486,150,10
20,gini,1,0.9304316192284067,0.9007170902660915,0.8350829081632654,7.979732318699065e-4,0.0028578395208406454,0.002935007599260281,150,10
20,gini,3,0.9312067200713358,0.9023023961522056,0.8353188775510204,7.291258606210763e-4,0.003389383475530583,0.0030913529869679222,150,10
20,gini,5,0.9306000112463043,0.9008080079125933,0.8352168367346939,7.964258558252207e-4,0.003513069599231478,0.0037012193034605895,150,10
20,gini,7,0.9307270576125581,0.9022001143850714,0.8348660714285714,7.177261037989706e-4,0.003232691425917722,0.0034489374912522477,150,10
30,gini,1,0.9299231415756679,0.9032399248850627,0.8346875,5.823611726189854e-4,0.0023726981707701666,0.003598756031568428,150,10
30,gini,3,0.9303053181590226,0.9032910698043559,0.8347831632653061,8.413594752339138e-4,0.0030296474539878403,0.00327493609967354,150,10
30,gini,5,0.9302282589884872,0.9030694635598633,0.8342793367346939,7.607283201674586e-4,0.0025932241923748915,0.0033718945164245232,150,10
30,gini,7,0.9302967255164135,0.9035126692688287,0.8347704081632653,8.162680809527592e-4,0.0025902420607111522,0.0026727379688154793,150,10
50,gini,1,0.9296311209796596,0.9066037136322896,0.8351020408163266,7.688566482841664e-4,0.0020731016201145486,0.0025681424758449587,150,10
50,gini,3,0.9294020009628795,0.9060809642446267,0.8354783163265306,6.225352676552777e-4,0.002960299139875669,0.003190496984307017,150,10
50,gini,5,0.9295254243873105,0.905876403616081,0.835452806122449,7.378848585174767e-4,0.0015319192868406375,0.0024530162111413146,150,10
50,gini,7,0.9296877135015742,0.9063196117464821,0.8346683673469388,6.094312167376644e-4,0.0023963567003122475,0.0033102193079024094,150,10
70,gini,1,0.928985543265893,0.9079844600198614,0.8347895408163265,0.0010690601419043103,0.0028168030480945723,0.002814083096034462,150,10
70,gini,3,0.9290496825262512,0.9078651366725065,0.8348405612244898,8.245693108598248e-4,0.0030845108552677815,0.0036388805031022996,150,10
70,gini,5,0.9289072072253962,0.9079787743273917,0.8346747448979592,7.327347583994158e-4,0.0025724252306050595,0.0030814693823740425,150,10
70,gini,7,0.9288418550461153,0.9073537565712054,0.8350892857142858,6.131389463147607e-4,0.00271647704859276,0.003312844644868655,150,10
90,gini,1,0.9375598198270303,0.916030293587731,0.8513647959183673,7.559927873993967e-4,0.003704421940422085,0.0015079233545131757,150,0
90,gini,3,0.937683407216566,0.9153711745910499,0.8526977040816326,7.313870382864847e-4,0.0032181233983404876,0.001717888992434331,150,0
90,gini,5,0.9374939013168426,0.9148825101395481,0.8524808673469387,8.084428521241371e-4,0.002430375145303935,0.001086385444382972,150,0
90,gini,7,0.9373971721908956,0.9153825322545205,0.8517538265306123,8.075716647624743e-4,0.0025375275583481753,0.0011637938514601352,150,0
110,gini,1,0.9375129476164876,0.9156609561964525,0.852295918367347,8.936540968741535e-4,0.003618965091438414,0.0014144295354730245,150,0
110,gini,3,0.9374654332769611,0.9153541246165187,0.8521237244897959,9.481777566288979e-4,0.0035635411694209763,0.0016232402146671538,150,0
110,gini,5,0.9372597568296049,0.9151154780832375,0.8521492346938776,6.893840927604072e-4,0.003387044533482734,0.0015325375858356797,150,0
110,gini,7,0.9371254411610297,0.9153882258570135,0.8516071428571429,8.459457982875989e-4,0.004013910047196081,0.0022320973027421392,150,0
130,gini,1,0.937349493034219,0.9156041388218712,0.8514859693877551,7.866846374910998e-4,0.003508089929745197,0.0014879319942044836,150,0
130,gini,3,0.9371872174653991,0.9153711678110299,0.852436224489796,7.734659558041591e-4,0.0030078860382471684,0.0018260578017195194,150,0
130,gini,5,0.9371733799385039,0.9147120591458078,0.852423469387755,7.961547173313581e-4,0.003819755118269818,0.0013600043438862222,150,0
130,gini,7,0.936992766779,0.9149791160613845,0.8521109693877551,8.003341186131257e-4,0.003507904297863075,0.0016096842758211917,150,0
90,gini,1,0.9283415735528697,0.9083481160772546,0.8346173469387755,9.890243652847543e-4,0.0031927379354005007,0.003851467955612402,150,10
90,gini,3,0.9280889515648123,0.9085640319478351,0.8343239795918368,7.216209024805399e-4,0.003082790521659872,0.003408008954674485,150,10
90,gini,5,0.9280659077412857,0.9085867611576742,0.8342602040816326,8.162964780914183e-4,0.0029384470928732554,0.003644883394520625,150,10
90,gini,7,0.9281736802340547,0.9087856322194531,0.8346747448979592,6.368085059581525e-4,0.003027001216706423,0.004129532000469155,150,10
110,gini,1,0.9277049618153468,0.909098154173299,0.8346237244897959,7.86520098169534e-4,0.0032495171740876813,0.0037786249777478124,150,10
110,gini,3,0.9276366761545709,0.9091379256090751,0.8338456632653061,9.193407543760121e-4,0.003554891565888139,0.004072067575072123,150,10
110,gini,5,0.9274387549645419,0.9086492719733195,0.8342920918367347,0.001119024218901152,0.0032861907333029128,0.0036553995053240766,150,10
110,gini,7,0.9276021677335267,0.9088083695007446,0.8347385204081633,5.427394872169841e-4,0.0034736680052356458,0.003930325898652252,150,10
130,gini,1,0.9269812448401217,0.9090640626185469,0.8339413265306123,0.0010961933136654806,0.0032621783924319065,0.002803185789432241,150,10
130,gini,3,0.9270569615338567,0.9089561030689661,0.8346619897959183,9.20060563519491e-4,0.0034579743139836103,0.003447050102380244,150,10
130,gini,5,0.9268653623941004,0.908984524589866,0.8342984693877551,9.219639383614668e-4,0.0035308774455919943,0.003975406923572264,150,10
