alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0,0.76,0.878466244,0.862630158,0.728864796,0.003915997,0.006939403,0.005463071
0,0.77,0.878005386,0.862323325,0.727876276,0.003940099,0.006985829,0.00553491
0,0.78,0.877537749,0.861874441,0.726996173,0.003964229,0.007012217,0.005553946
0,0.79,0.877063203,0.861493742,0.725899235,0.003988693,0.006972219,0.005464979
0,0.8,0.876581793,0.861198274,0.72494898,0.004011875,0.007100228,0.005619831
0,0.81,0.876103929,0.860698253,0.723826531,0.004036356,0.007159686,0.005755117
0,0.82,0.875657501,0.860402786,0.722869898,0.004040158,0.007314912,0.005812649
0,0.83,0.875221912,0.859987994,0.721945153,0.004060455,0.00726863,0.005976228
0,0.84,0.874779768,0.859635707,0.721128827,0.004080062,0.007248119,0.006025967
0,0.85,0.874332065,0.859328875,0.720038265,0.004100162,0.007177497,0.006115785
0,0.86,0.873879647,0.858851581,0.719005102,0.004120385,0.007192295,0.006318002
0,0.87,0.873420492,0.858465199,0.717889031,0.004140531,0.007172442,0.006348907
0,0.88,0.872955968,0.857970859,0.716970663,0.004160495,0.007227354,0.00618102
0,0.89,0.872500053,0.857476519,0.715950255,0.004179704,0.007170523,0.006260988
0,0.9,0.872073023,0.85706741,0.714987245,0.0041798,0.007178333,0.006227018
0,0.91,0.871655462,0.856482155,0.714056122,0.004196597,0.006899303,0.005999069
0,0.92,0.87123257,0.85616964,0.713354592,0.004213591,0.006822081,0.006051595
0,0.93,0.870805076,0.855896901,0.712404337,0.004229213,0.00688073,0.005961049
0,0.94,0.870373872,0.855584386,0.71158801,0.004246029,0.006842683,0.00566798
0,0.95,0.86993725,0.855186643,0.710758929,0.004262141,0.006908377,0.005678062
0,0.96,0.869495181,0.854754805,0.71,0.004278371,0.006851025,0.00556323
0,0.97,0.869053965,0.854232054,0.709132653,0.004294874,0.006793543,0.005497406
0,0.98,0.868625408,0.85383999,0.70846301,0.004302264,0.006802908,0.0054078
0,0.99,0.868223336,0.853561569,0.707748724,0.004303343,0.006742774,0.005430383
0,1,0.867826392,0.853254738,0.707040816,0.004316509,0.006712763,0.00556587
0,0.02,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.021,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.022,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.023,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.024,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.025,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.026,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.027,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.028,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.029,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.03,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
