alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.001,0.9184904221564046,0.8958191250548551,0.8176849489795919,7.202036937634579e-4,0.002031412857559294,0.0022165545339509107
1,0.0011,0.9183123038803819,0.8957850318858125,0.8173724489795918,7.278367917879635e-4,0.0018406567317299863,0.0022577791674684472
1,0.0012000000000000001,0.9181284105092503,0.8957509377481957,0.8169515306122449,7.343079028256707e-4,0.0016846484739242381,0.0021869979194139573
1,0.0013,0.9179526111540721,0.8958191244091388,0.8165242346938776,7.458173104357351e-4,0.0015909208000439434,0.0021512303004322577
1,0.0014,0.9177776556071836,0.8959554964395928,0.8161862244897959,7.612151420718162e-4,0.0016897049926056355,0.0021071992197334143
1,0.0015,0.9175960177667959,0.8958077640013744,0.8158992346938776,7.767491830754696e-4,0.0016767791103532415,0.0022671274451060994
1,0.0016,0.9174048888735704,0.8957395792775799,0.815561224489796,7.96907573803897e-4,0.0017732480896614801,0.0022942569456319045
1,0.0017000000000000001,0.9172056608407849,0.8957964006878872,0.8152423469387755,8.246878406240991e-4,0.0017581143227756652,0.0022607721233603066
1,0.0018,0.9170213051615297,0.8957168532963217,0.8148086734693877,8.515892272311439e-4,0.0017574387673040075,0.0022954311416126284
1,0.0019000000000000002,0.9168304970167948,0.8956316223108639,0.814438775510204,8.782008204007476e-4,0.0016958360868420178,0.0023734859622010643
1,0.002,0.9166477590831229,0.8955122999320831,0.8142219387755102,9.050293155001737e-4,0.0018114801892263625,0.0025492260909022184
1,0.0021000000000000003,0.9164605713314619,0.8955236655055769,0.81391581632653065,9.280405878671057e-4,0.0017965197530832799,0.0025454938541726348
1,0.0022,0.916277064987032,0.8953759322602134,0.8135331632653061,9.472537517344653e-4,0.0016407740296540251,0.002534183917426418
1,0.0023,0.9160896804406016,0.8952907017590428,0.813329081632653,9.616915000760763e-4,0.0017008684588878335,0.002670492401904109
1,0.0024000000000000002,0.9159021474748279,0.8952225157438158,0.8130165816326531,9.671630525422456e-4,0.0015560222290331089,0.0028717928834839277
1,0.0025,0.9157080367524426,0.8951770594227151,0.8126785714285715,9.716165473253114e-4,0.0015093375050448618,0.00286107984833206
1,0.0026,0.9155267848121326,0.8950009146650526,0.8123469387755102,9.625828746182449e-4,0.0014523860052319112,0.0027134025135407895
1,0.0027,0.9153342804927318,0.8949270473159402,0.8120918367346939,9.540391438712532e-4,0.001400243917075022,0.002639701418231909
1,0.0028000000000000004,0.9151538331879249,0.8948986354807832,0.8117283163265306,9.455559931888038e-4,0.0012824403632935445,0.002574074716087782
1,0.0029,0.9149715905349853,0.8947963567808007,0.8114477040816327,9.346789194823801e-4,0.0012554500727449142,0.0025147897530056343
1,0.003,0.9147886199507024,0.8947054452686026,0.8111160714285715,9.30020443276862e-4,0.001216809433538647,0.0027413827208543967
1,0.0031000000000000003,0.9146261115795251,0.894586119338383,0.8108609693877551,9.265943673662238e-4,0.001125799179150204,0.002728462866135542
1,0.0032,0.914456825123843,0.8945804381659264,0.8105420918367346,9.233777717700591e-4,0.001050971091035035,0.0027250134452438185
1,0.0033,0.9142863264878969,0.8944497492450775,0.8102104591836735,9.201711694928711e-4,0.001019700951421855,0.002897700505171262
1,0.0034000000000000002,0.914130648020605,0.8943474723208146,0.8099426020408164,9.100357927883078e-4,0.00096619182518627395,0.002986437655616984
1,0.0035,0.9139672620833232,0.8942451950736937,0.8095982142857143,8.982663659620804e-4,0.001000686470004617,0.002907299510333319
1,0.0036000000000000003,0.9138020573368248,0.8942451939436903,0.8092920918367347,8.884290302798455e-4,9.713686657217984e-4,0.0029496259652383753
1,0.0037,0.9136466792750498,0.8941826902309231,0.8090880102040816,8.768373571262735e-4,9.455937723082012e-4,0.002976256908272195
1,0.0038,0.9134855652506442,0.8941826908766394,0.8087755102040817,8.634603742885402e-4,9.269677111487402e-4,0.0030158298508789197
1,0.0039000000000000003,0.9133182840985782,0.894063366399281,0.8083864795918367,8.502375691959738e-4,8.806095438362054e-4,0.002923691564063556
1,0.004,0.9131566862485271,0.8940917767815765,0.8080739795918367,8.357320454941689e-4,9.506905312465818e-4,0.003045856540795649
1,0.0041,0.9130032296270439,0.8940349552098401,0.8078061224489796,8.16874990856669e-4,9.2716269615216e-4,0.003111091366813152
1,0.004200000000000001,0.912845138199345,0.8939383607494661,0.807531887755102,7.983671687069701e-4,8.858562563118462e-4,0.003119414651478249
1,0.0043,0.9126820367295866,0.8938247193817127,0.8071683673469388,7.791064288042311e-4,8.143849961859787e-4,0.0031119083593972386
1,0.0044,0.9125284766394273,0.8936826663402313,0.8068303571428571,7.607642553370176e-4,7.446859682575537e-4,0.003187451893659881
1,0.0045000000000000005,0.9123774452949421,0.8936144827464401,0.8065625,7.421954309003567e-4,6.597195945645932e-4,0.003194780697476239
1,0.0046,0.9122223515146223,0.8935292514381241,0.8062181122448979,7.230537907666145e-4,7.216878907183895e-4,0.003198724911948145
1,0.0047,0.9120628575572999,0.8934042462725964,0.8057908163265306,7.047975191539385e-4,7.569147640212299e-4,0.0032536919017500743
1,0.0048000000000000004,0.9119075157639861,0.8932167385243048,0.8053571428571429,6.913431206272387e-4,8.152098488350908e-4,0.0031409843439846163
1,0.0049,0.9117567899217335,0.8931258255592454,0.8050956632653061,6.756827639210942e-4,8.091550897315961e-4,0.0031092932274842167
1,0.005,0.9116012187470145,0.8930462760691021,0.8048214285714286,6.595609018351563e-4,8.142459109922329e-4,0.00315691996479135
1,0.0051,0.9114412189520663,0.8930121840300629,0.8045025510204081,6.430538695673448e-4,8.271595630908871e-4,0.0031950989597847573
1,0.005200000000000001,0.9112805985388738,0.8930292307760133,0.8042665816326531,6.319144332987357e-4,8.563243075886425e-4,0.00323149006120561
